query_id,target,size,control
q0000,0.16,8,2.8592676000000004
q0001,0.16,8,3.1792676000000002
q0002,0.16,8,3.4992676
q0003,0.16,23,2.8592676000000004
q0004,0.16,23,3.1792676000000002
q0005,0.16,23,3.4992676
q0006,0.16,30,2.8592676000000004
q0007,0.16,30,3.1792676000000002
q0008,0.16,30,3.4992676
q0009,0.48999999999999999,8,2.6209036500000003
q0010,0.48999999999999999,8,2.9409036500000001
q0011,0.48999999999999999,8,3.2609036499999999
q0012,0.48999999999999999,23,2.6209036500000003
q0013,0.48999999999999999,23,2.9409036500000001
q0014,0.48999999999999999,23,3.2609036499999999
q0015,0.48999999999999999,30,2.6209036500000003
q0016,0.48999999999999999,30,2.9409036500000001
q0017,0.48999999999999999,30,3.2609036499999999
q0018,0.80000000000000004,8,2.2030500000000006
q0019,0.80000000000000004,8,2.5230500000000005
q0020,0.80000000000000004,8,2.8430500000000003
q0021,0.80000000000000004,23,2.2030500000000006
q0022,0.80000000000000004,23,2.5230500000000005
q0023,0.80000000000000004,23,2.8430500000000003
q0024,0.80000000000000004,30,2.2030500000000006
q0025,0.80000000000000004,30,2.5230500000000005
q0026,0.80000000000000004,30,2.8430500000000003
