site_id,x,y
s000,0,0
s001,1,0
s002,2,0
s003,3,0
s004,4,0
s005,5,0
s006,6,0
s007,7,0
s008,8,0
s009,0,1
s010,1,1
s011,2,1
s012,3,1
s013,4,1
s014,5,1
s015,6,1
s016,7,1
s017,8,1
s018,0,2
s019,1,2
s020,2,2
s021,3,2
s022,4,2
s023,5,2
s024,6,2
s025,7,2
s026,8,2
s027,0,3
s028,1,3
s029,2,3
s030,3,3
s031,4,3
s032,5,3
s033,6,3
s034,7,3
s035,8,3
s036,0,4
s037,1,4
s038,2,4
s039,3,4
s040,4,4
s041,5,4
s042,6,4
s043,7,4
s044,8,4
s045,0,5
s046,1,5
s047,2,5
s048,3,5
s049,4,5
s050,5,5
s051,6,5
s052,7,5
s053,8,5
s054,0,6
s055,1,6
s056,2,6
s057,3,6
s058,4,6
s059,5,6
s060,6,6
s061,7,6
s062,8,6
s063,0,7
s064,1,7
s065,2,7
s066,3,7
s067,4,7
s068,5,7
s069,6,7
s070,7,7
s071,8,7
