case_id,target,min_size,halfwidth,h_c,nu,validation_rmse,n_groups,fit_ok
case_amber,0.17999999999999999,7,0.69999999999999996,3.3710000000000004,4,0.0082963710422056143,12,1
case_amber,0.17999999999999999,7,0.90000000000000002,3.2949999999999999,1.9555014660479999,0.012467745097362648,20,1
case_amber,0.17999999999999999,7,1.1000000000000001,3.2855555555555553,1.9897615711742274,0.01246756524565126,20,1
case_amber,0.17999999999999999,11,0.69999999999999996,3.3710000000000004,4,0.008349906042476778,9,1
case_amber,0.17999999999999999,11,0.90000000000000002,2.8700000000000006,4,0.012681155864844525,15,1
case_amber,0.17999999999999999,11,1.1000000000000001,2.8712222222222228,4,0.012681129675414874,15,1
case_amber,0.5,7,0.69999999999999996,3.1779999999999999,1.4586998400000002,0.0076731626511924436,16,1
case_amber,0.5,7,0.90000000000000002,3.1729999999999996,1.4586998400000002,0.0076747520069182333,16,1
case_amber,0.5,7,1.1000000000000001,2.6574444444444443,4,0.014758321990521807,24,1
case_amber,0.5,11,0.69999999999999996,2.9819999999999998,2.5137858620068334,0.0081904719357460375,12,1
case_amber,0.5,11,0.90000000000000002,2.9839999999999995,2.5137858620068334,0.0081906048385904009,12,1
case_amber,0.5,11,1.1000000000000001,2.8114444444444442,4,0.01297113412109868,18,1
case_amber,0.81999999999999995,7,0.69999999999999996,2.3050000000000002,1.8411169121280002,0.013322951079504739,16,1
case_amber,0.81999999999999995,7,0.90000000000000002,2.3180000000000001,1.7865075121920002,0.013295106418907883,16,1
case_amber,0.81999999999999995,7,1.1000000000000001,2.2389999999999999,2.4108530238883952,0.012988855325152624,24,1
case_amber,0.81999999999999995,11,0.69999999999999996,2.4140000000000001,4,0.011146070395181748,12,1
case_amber,0.81999999999999995,11,0.90000000000000002,2.4200000000000004,4,0.011146121355896295,12,1
case_amber,0.81999999999999995,11,1.1000000000000001,2.3844444444444446,4,0.012372149698961412,18,1
