query_id,target,size,control
q0000,0.23999999999999999,11.5,1.6811764000000002
q0001,0.23999999999999999,11.5,2.0011764000000003
q0002,0.23999999999999999,11.5,2.3211764000000001
q0003,0.23999999999999999,25.5,1.6811764000000002
q0004,0.23999999999999999,25.5,2.0011764000000003
q0005,0.23999999999999999,25.5,2.3211764000000001
q0006,0.23999999999999999,32,1.6811764000000002
q0007,0.23999999999999999,32,2.0011764000000003
q0008,0.23999999999999999,32,2.3211764000000001
q0009,0.46999999999999997,11.5,2.0573425500000004
q0010,0.46999999999999997,11.5,2.3773425500000003
q0011,0.46999999999999997,11.5,2.6973425500000001
q0012,0.46999999999999997,25.5,2.0573425500000004
q0013,0.46999999999999997,25.5,2.3773425500000003
q0014,0.46999999999999997,25.5,2.6973425500000001
q0015,0.46999999999999997,32,2.0573425500000004
q0016,0.46999999999999997,32,2.3773425500000003
q0017,0.46999999999999997,32,2.6973425500000001
q0018,0.76000000000000001,11.5,2.4214796000000001
q0019,0.76000000000000001,11.5,2.7414795999999999
q0020,0.76000000000000001,11.5,3.0614795999999997
q0021,0.76000000000000001,25.5,2.4214796000000001
q0022,0.76000000000000001,25.5,2.7414795999999999
q0023,0.76000000000000001,25.5,3.0614795999999997
q0024,0.76000000000000001,32,2.4214796000000001
q0025,0.76000000000000001,32,2.7414795999999999
q0026,0.76000000000000001,32,3.0614795999999997
