query_id,system_id,prefix,kind,energy,eta
hidden_0_0,sys_alpha,73,GR,-2.1232274436502143,0.12164636707161108
hidden_0_1,sys_alpha,157,DOS,-0.20043002864732951,0.184431588785991
hidden_0_2,sys_alpha,251,GA,1.3299597506406811,0.32569833764334583
hidden_0_3,sys_alpha,319,GR,2.9780718206431533,0.10202598528586736
hidden_0_4,sys_alpha,383,DOS,0.42742218849646962,0.46696508650070062
hidden_0_5,sys_alpha,211,GA,-2.7903204243655013,0.21582419964318095
hidden_1_0,sys_beta,73,GR,-3.5147693298246048,0.18304059357548186
hidden_1_1,sys_beta,157,DOS,-0.62154704427666574,0.27751315800153703
hidden_1_2,sys_beta,251,GA,1.6812217136084289,0.49007642796016115
hidden_1_3,sys_beta,319,GR,4.1611265297923765,0.15351791719233962
hidden_1_4,sys_beta,383,DOS,0.32317859998388587,0.70263969791878522
hidden_1_5,sys_beta,211,GA,-4.5185403268514417,0.32474944021456459
hidden_2_0,sys_gamma,73,GR,-2.8749995772684183,0.14984026081224025
hidden_2_1,sys_gamma,157,DOS,-0.50655674507494308,0.2271771696185578
hidden_2_2,sys_gamma,251,GA,1.3785304070790474,0.40118521443277233
hidden_2_3,sys_gamma,319,GR,3.4086242632448829,0.12567247681026603
hidden_2_4,sys_gamma,383,DOS,0.26681234298823242,0.57519325924698672
hidden_2_5,sys_gamma,211,GA,-3.6967042333355424,0.26584562402171658
