case_id,target,size,control,n_realizations,n_ratios,mean_r,se_r
case_indigo,0.23999999999999999,9,0.84999999999999998,26,687,0.52542394637977441,0.013563141387318433
case_indigo,0.23999999999999999,9,1.25,28,774,0.52200352440961428,0.010195049653823441
case_indigo,0.23999999999999999,9,1.6499999999999999,30,891,0.49772703815432967,0.010421267290003842
case_indigo,0.23999999999999999,9,2.0499999999999998,25,783,0.45460607950082049,0.011755016101994498
case_indigo,0.23999999999999999,9,2.4500000000000002,27,900,0.46437535211967079,0.0087002306321401802
case_indigo,0.23999999999999999,9,2.8500000000000001,29,1007,0.42614133474014948,0.010024373009971881
case_indigo,0.23999999999999999,9,3.25,24,865,0.40759144190251956,0.011719519199064325
case_indigo,0.23999999999999999,9,3.6499999999999999,26,961,0.40580295942617073,0.01026299640134787
case_indigo,0.23999999999999999,9,4.0499999999999998,28,1038,0.40908721496039818,0.010324057680523321
case_indigo,0.23999999999999999,14,0.84999999999999998,29,733,0.53224219778030146,0.0081682389142709814
case_indigo,0.23999999999999999,14,1.25,24,642,0.54625157538174451,0.011208147781861981
case_indigo,0.23999999999999999,14,1.6499999999999999,26,751,0.49775199174629908,0.01172970092004251
case_indigo,0.23999999999999999,14,2.0499999999999998,28,889,0.46804977939159287,0.011637323974447718
case_indigo,0.23999999999999999,14,2.4500000000000002,30,1030,0.43193063888240546,0.01028052078335228
case_indigo,0.23999999999999999,14,2.8500000000000001,25,896,0.40947376052067225,0.010034685042342997
case_indigo,0.23999999999999999,14,3.25,27,999,0.41625060195605285,0.010781016322876358
case_indigo,0.23999999999999999,14,3.6499999999999999,29,1095,0.3774383743194355,0.0098634487076052959
case_indigo,0.23999999999999999,14,4.0499999999999998,24,912,0.37610531714292605,0.009058350304851007
case_indigo,0.23999999999999999,21,0.84999999999999998,25,617,0.52795821214445016,0.012045602048602888
case_indigo,0.23999999999999999,21,1.25,27,694,0.51278106172626348,0.010299341738060068
case_indigo,0.23999999999999999,21,1.6499999999999999,29,811,0.49842568261900527,0.012640133930844961
case_indigo,0.23999999999999999,21,2.0499999999999998,24,759,0.47504418560275807,0.010840933558977544
case_indigo,0.23999999999999999,21,2.4500000000000002,26,916,0.42245991263932275,0.0085227857007635979
case_indigo,0.23999999999999999,21,2.8500000000000001,28,1036,0.41145175887858826,0.010573103855649536
case_indigo,0.23999999999999999,21,3.25,30,1139,0.39615443949383766,0.0066301149933028283
case_indigo,0.23999999999999999,21,3.6499999999999999,25,950,0.36486225295848773,0.0087317704609429468
case_indigo,0.23999999999999999,21,4.0499999999999998,27,1026,0.39207918798643276,0.0087490189171827298
case_indigo,0.23999999999999999,30,0.84999999999999998,28,672,0.5626806529854228,0.011731317518901403
case_indigo,0.23999999999999999,30,1.25,30,750,0.50257044329461342,0.010520106520313939
case_indigo,0.23999999999999999,30,1.6499999999999999,25,680,0.52427199620840947,0.012592648533688378
case_indigo,0.23999999999999999,30,2.0499999999999998,27,868,0.447933290100893,0.013275628832446613
case_indigo,0.23999999999999999,30,2.4500000000000002,29,1041,0.41473161735268704,0.0077449202767820545
case_indigo,0.23999999999999999,30,2.8500000000000001,24,901,0.38241376902342172,0.010122182260913933
case_indigo,0.23999999999999999,30,3.25,26,988,0.38876757239633625,0.012760271260226335
case_indigo,0.23999999999999999,30,3.6499999999999999,28,1064,0.39629272819276246,0.010449648698735199
case_indigo,0.23999999999999999,30,4.0499999999999998,30,1140,0.38287746739309458,0.0091108548608801829
case_indigo,0.46999999999999997,9,0.84999999999999998,29,750,0.51561789849818784,0.010966441201796771
case_indigo,0.46999999999999997,9,1.25,24,640,0.50966386759307902,0.010609615809147486
case_indigo,0.46999999999999997,9,1.6499999999999999,26,736,0.49615694726994469,0.011368939544142951
case_indigo,0.46999999999999997,9,2.0499999999999998,28,833,0.4863432466468029,0.010094939907975328
case_indigo,0.46999999999999997,9,2.4500000000000002,30,946,0.47548980320642287,0.012794061203350844
case_indigo,0.46999999999999997,9,2.8500000000000001,25,833,0.45170472117688493,0.0099032184560916871
case_indigo,0.46999999999999997,9,3.25,27,942,0.43861518274444244,0.007845795969039962
case_indigo,0.46999999999999997,9,3.6499999999999999,29,1038,0.42116558024041334,0.0087029023235495415
case_indigo,0.46999999999999997,9,4.0499999999999998,24,877,0.39751157441724344,0.0099289702965107522
case_indigo,0.46999999999999997,14,0.84999999999999998,25,624,0.53901638117431427,0.0071843519221423307
case_indigo,0.46999999999999997,14,1.25,27,691,0.51234225290556112,0.012461841047288183
case_indigo,0.46999999999999997,14,1.6499999999999999,29,784,0.49567153500277444,0.01089781643733383
case_indigo,0.46999999999999997,14,2.0499999999999998,24,707,0.47896792741857075,0.012434465450238795
case_indigo,0.46999999999999997,14,2.4500000000000002,26,825,0.4769485420464078,0.010354274651145513
case_indigo,0.46999999999999997,14,2.8500000000000001,28,949,0.43374719933673472,0.011241670302814028
case_indigo,0.46999999999999997,14,3.25,30,1076,0.42616791490883282,0.0086822916286556917
case_indigo,0.46999999999999997,14,3.6499999999999999,25,921,0.39668813453207308,0.0084884544779138503
case_indigo,0.46999999999999997,14,4.0499999999999998,27,1001,0.38113546821044153,0.010306150789042675
case_indigo,0.46999999999999997,21,0.84999999999999998,28,672,0.52317701122889904,0.0095870908955900305
case_indigo,0.46999999999999997,21,1.25,30,749,0.53801685436639834,0.010398072803055618
case_indigo,0.46999999999999997,21,1.6499999999999999,25,649,0.50633118148453549,0.011810724412575198
case_indigo,0.46999999999999997,21,2.0499999999999998,27,771,0.49445790965245379,0.011014400790488883
case_indigo,0.46999999999999997,21,2.4500000000000002,29,925,0.48380460459039665,0.0085161856222658889
case_indigo,0.46999999999999997,21,2.8500000000000001,24,833,0.41913032301204983,0.010230943632490944
case_indigo,0.46999999999999997,21,3.25,26,957,0.40710732922969328,0.008544570493276055
case_indigo,0.46999999999999997,21,3.6499999999999999,28,1056,0.39675890387985197,0.010834750686790554
case_indigo,0.46999999999999997,21,4.0499999999999998,30,1140,0.38377867387797726,0.0081646960464743391
case_indigo,0.46999999999999997,30,0.84999999999999998,24,576,0.53841707507417447,0.010802648309298071
case_indigo,0.46999999999999997,30,1.25,26,624,0.53614536216505904,0.010332267653856638
case_indigo,0.46999999999999997,30,1.6499999999999999,28,702,0.52274225442093447,0.0096452828342382235
case_indigo,0.46999999999999997,30,2.0499999999999998,30,826,0.51763381392240027,0.008491169660899479
case_indigo,0.46999999999999997,30,2.4500000000000002,25,800,0.47451041688138973,0.011445632847511201
case_indigo,0.46999999999999997,30,2.8500000000000001,27,965,0.43072737890192525,0.0092860086961771768
case_indigo,0.46999999999999997,30,3.25,29,1081,0.38853114779561271,0.008454217497573413
case_indigo,0.46999999999999997,30,3.6499999999999999,24,912,0.39690542749022101,0.009163744628925977
case_indigo,0.46999999999999997,30,4.0499999999999998,26,988,0.38508040548715755,0.011086155652373923
case_indigo,0.76000000000000001,9,0.84999999999999998,25,635,0.51814387272023776,0.0095411364055478266
case_indigo,0.76000000000000001,9,1.25,27,703,0.49844976539056768,0.011400422791864486
case_indigo,0.76000000000000001,9,1.6499999999999999,29,786,0.49158632308399031,0.0092845763895168226
case_indigo,0.76000000000000001,9,2.0499999999999998,24,681,0.49550122564942711,0.013710553972540158
case_indigo,0.76000000000000001,9,2.4500000000000002,26,780,0.4762082256282954,0.010840257888834156
case_indigo,0.76000000000000001,9,2.8500000000000001,28,883,0.46540167732400384,0.0092571732391813627
case_indigo,0.76000000000000001,9,3.25,30,999,0.46605312240872893,0.010706360674540946
case_indigo,0.76000000000000001,9,3.6499999999999999,25,869,0.42771221290687383,0.012347536924312712
case_indigo,0.76000000000000001,9,4.0499999999999998,27,961,0.41645590943248573,0.011495254737534518
case_indigo,0.76000000000000001,14,0.84999999999999998,28,691,0.53636750746176187,0.012254676009219636
case_indigo,0.76000000000000001,14,1.25,30,753,0.52106023848426819,0.0090682031684300411
case_indigo,0.76000000000000001,14,1.6499999999999999,25,653,0.52449402855187388,0.012286427527336222
case_indigo,0.76000000000000001,14,2.0499999999999998,27,746,0.51193666836978369,0.010724552756625851
case_indigo,0.76000000000000001,14,2.4500000000000002,29,857,0.49186344707474883,0.012079496530342466
case_indigo,0.76000000000000001,14,2.8500000000000001,24,769,0.46124533704019388,0.012013511185942048
case_indigo,0.76000000000000001,14,3.25,26,873,0.43611825605843169,0.011022905874018985
case_indigo,0.76000000000000001,14,3.6499999999999999,28,1001,0.41755084747377591,0.010314854821774855
case_indigo,0.76000000000000001,14,4.0499999999999998,30,1102,0.42651478680339328,0.0077237331908046759
case_indigo,0.76000000000000001,21,0.84999999999999998,24,576,0.54516480414151047,0.012986061090616225
case_indigo,0.76000000000000001,21,1.25,26,630,0.53778630607725053,0.01137477401037695
case_indigo,0.76000000000000001,21,1.6499999999999999,28,701,0.51549249205863845,0.012880508502910747
case_indigo,0.76000000000000001,21,2.0499999999999998,30,796,0.51203593980699658,0.0099768493456225578
case_indigo,0.76000000000000001,21,2.4500000000000002,25,724,0.50008763376902488,0.00847160629877791
case_indigo,0.76000000000000001,21,2.8500000000000001,27,870,0.46026347977323773,0.0094029660796924874
case_indigo,0.76000000000000001,21,3.25,29,1004,0.44161178544058066,0.01008354625940959
case_indigo,0.76000000000000001,21,3.6499999999999999,24,875,0.42800538729433862,0.011552040207045358
case_indigo,0.76000000000000001,21,4.0499999999999998,26,969,0.39735319445835582,0.010361145016414278
case_indigo,0.76000000000000001,30,0.84999999999999998,27,648,0.52509413151631523,0.012737104044387109
case_indigo,0.76000000000000001,30,1.25,29,696,0.53275442709878817,0.011022903558222205
case_indigo,0.76000000000000001,30,1.6499999999999999,24,585,0.52682970449437383,0.0094495533121653225
case_indigo,0.76000000000000001,30,2.0499999999999998,26,666,0.53054507492515834,0.010095462451894773
case_indigo,0.76000000000000001,30,2.4500000000000002,28,794,0.48288495372429202,0.012289880300536949
case_indigo,0.76000000000000001,30,2.8500000000000001,30,971,0.45704323780227113,0.010408648992838991
case_indigo,0.76000000000000001,30,3.25,25,898,0.41258328921994597,0.010079325477891267
case_indigo,0.76000000000000001,30,3.6499999999999999,27,999,0.39585555728801697,0.0087915361001033743
case_indigo,0.76000000000000001,30,4.0499999999999998,29,1102,0.407246528032772,0.0092684199881037724
