case_id,target,min_size,halfwidth,h_c,nu,validation_rmse,n_groups,fit_ok
case_indigo,0.23999999999999999,9,0.69999999999999996,1.9119999999999999,0.79403111649583158,0.0078983787303433875,12,1
case_indigo,0.23999999999999999,9,0.90000000000000002,1.9669999999999999,1.3481832732323447,0.010591218824512564,20,1
case_indigo,0.23999999999999999,9,1.1000000000000001,1.9696666666666665,1.3481832732323447,0.010591922898703669,20,1
case_indigo,0.23999999999999999,14,0.69999999999999996,1.9369999999999998,0.92329199592538558,0.0058820135023076592,9,1
case_indigo,0.23999999999999999,14,0.90000000000000002,2.0099999999999998,1.5017149828375185,0.01023879539478263,15,1
case_indigo,0.23999999999999999,14,1.1000000000000001,2.0099999999999998,1.5017149828375185,0.01023879539478263,15,1
case_indigo,0.46999999999999997,9,0.69999999999999996,2.5479999999999996,0.99258041111380546,0.0073557721202127712,16,1
case_indigo,0.46999999999999997,9,0.90000000000000002,2.5489999999999995,0.99258041111380546,0.0073559348443257046,16,1
case_indigo,0.46999999999999997,9,1.1000000000000001,2.5327777777777771,1.0453878049427343,0.0073976898824895674,24,1
case_indigo,0.46999999999999997,14,0.69999999999999996,2.6219999999999994,0.86909626906473048,0.0080150607233680123,12,1
case_indigo,0.46999999999999997,14,0.90000000000000002,2.6219999999999994,0.86909626906473048,0.0080150607233680123,12,1
case_indigo,0.46999999999999997,14,1.1000000000000001,2.6464444444444442,0.91605222824323795,0.0079381322359483013,18,1
case_indigo,0.76000000000000001,9,0.69999999999999996,2.6209999999999991,1.1609115862900954,0.0067398568998692171,16,1
case_indigo,0.76000000000000001,9,0.90000000000000002,2.6289999999999987,1.1609115862900954,0.0067399337290461473,16,1
case_indigo,0.76000000000000001,9,1.1000000000000001,2.7344444444444433,1.0714050302696354,0.0083422299515216979,24,1
case_indigo,0.76000000000000001,14,0.69999999999999996,2.5559999999999992,1.645031121350812,0.0062656986987159541,12,1
case_indigo,0.76000000000000001,14,0.90000000000000002,2.5559999999999992,1.645031121350812,0.0062656986987159541,12,1
case_indigo,0.76000000000000001,14,1.1000000000000001,2.5559999999999992,1.6002248262167431,0.0073924492919377124,18,1
