case_id,target,size,control,realization_id,n_ratios,mean_r
case_verdant,0.16,6,1.05,r0000,25,0.48609641446584817
case_verdant,0.16,6,1.05,r0001,25,0.53015355073388437
case_verdant,0.16,6,1.05,r0002,25,0.52486875049178472
case_verdant,0.16,6,1.05,r0003,25,0.42693121767142556
case_verdant,0.16,6,1.05,r0004,25,0.60186487456598692
case_verdant,0.16,6,1.05,r0005,25,0.42956588675037233
case_verdant,0.16,6,1.05,r0006,25,0.46429244700824251
case_verdant,0.16,6,1.05,r0007,25,0.60847451807801756
case_verdant,0.16,6,1.05,r0008,25,0.53887070901117284
case_verdant,0.16,6,1.05,r0009,25,0.55826445992333784
case_verdant,0.16,6,1.05,r0010,25,0.48707009170508947
case_verdant,0.16,6,1.05,r0011,25,0.50907986531203453
case_verdant,0.16,6,1.05,r0012,26,0.51434202448797106
case_verdant,0.16,6,1.05,r0013,25,0.58397463563031982
case_verdant,0.16,6,1.05,r0014,25,0.54427680460899253
case_verdant,0.16,6,1.05,r0015,25,0.53313437168521305
case_verdant,0.16,6,1.05,r0016,25,0.49556514074171992
case_verdant,0.16,6,1.05,r0017,26,0.47163754503174815
case_verdant,0.16,6,1.05,r0018,26,0.53249795001799138
case_verdant,0.16,6,1.05,r0019,25,0.5767676996852521
case_verdant,0.16,6,1.05,r0020,26,0.53354300687844503
case_verdant,0.16,6,1.05,r0021,25,0.64637096639671521
case_verdant,0.16,6,1.05,r0022,26,0.60896614835568763
case_verdant,0.16,6,1.05,r0023,25,0.55129912008182491
case_verdant,0.16,6,1.05,r0024,25,0.60053880709772967
case_verdant,0.16,6,1.5,r0000,27,0.56073415724968612
case_verdant,0.16,6,1.5,r0001,25,0.47680737861214234
case_verdant,0.16,6,1.5,r0002,26,0.52764339383107017
case_verdant,0.16,6,1.5,r0003,26,0.47664359334599155
case_verdant,0.16,6,1.5,r0004,26,0.48273161795733288
case_verdant,0.16,6,1.5,r0005,26,0.54745384780153949
case_verdant,0.16,6,1.5,r0006,26,0.54207251541927748
case_verdant,0.16,6,1.5,r0007,26,0.53727713106012809
case_verdant,0.16,6,1.5,r0008,26,0.55919504001081533
case_verdant,0.16,6,1.5,r0009,26,0.50120075027875788
case_verdant,0.16,6,1.5,r0010,25,0.46528193331853301
case_verdant,0.16,6,1.5,r0011,26,0.41200238376254339
case_verdant,0.16,6,1.5,r0012,26,0.46274647202935609
case_verdant,0.16,6,1.5,r0013,26,0.42579159916299913
case_verdant,0.16,6,1.5,r0014,26,0.46743003407826084
case_verdant,0.16,6,1.5,r0015,26,0.56355144336052332
case_verdant,0.16,6,1.5,r0016,26,0.57524043086744192
case_verdant,0.16,6,1.5,r0017,26,0.61107784188252645
case_verdant,0.16,6,1.5,r0018,26,0.49866428396711898
case_verdant,0.16,6,1.5,r0019,26,0.48104236383578358
