case_id,target,size,control,n_realizations,n_ratios,mean_r,se_r
case_verdant,0.16,6,1.05,25,630,0.53433788025667228,0.011281946134517678
case_verdant,0.16,6,1.5,27,702,0.50936154998834682,0.0091921605201946872
case_verdant,0.16,6,1.95,29,778,0.51429182993906963,0.010760042075805665
case_verdant,0.16,6,2.3999999999999999,24,676,0.49080622455944339,0.011195418455799775
case_verdant,0.16,6,2.8500000000000001,26,777,0.47910212237938399,0.010944515906852706
case_verdant,0.16,6,3.2999999999999998,28,876,0.47811438665841643,0.010396812622198872
case_verdant,0.16,6,3.75,23,758,0.4559587654315137,0.011404397004179992
case_verdant,0.16,6,4.2000000000000002,25,861,0.4247354077520305,0.0068113221752352836
case_verdant,0.16,6,4.6500000000000004,27,955,0.43819028441659497,0.0089371679634577261
case_verdant,0.16,10,1.05,28,675,0.51334488690062918,0.010606876958100383
case_verdant,0.16,10,1.5,23,574,0.50241881694439827,0.014507450639125632
case_verdant,0.16,10,1.95,25,641,0.51461242197165369,0.0081055745117932614
case_verdant,0.16,10,2.3999999999999999,27,733,0.52656937125779724,0.011713622650561124
case_verdant,0.16,10,2.8500000000000001,29,840,0.47998602470200019,0.010047470608822794
case_verdant,0.16,10,3.2999999999999998,24,760,0.4676897049711834,0.012963052475923734
case_verdant,0.16,10,3.75,26,875,0.43350138167819108,0.013300177220514908
case_verdant,0.16,10,4.2000000000000002,28,998,0.43206099796338976,0.011583314876921894
case_verdant,0.16,10,4.6500000000000004,23,847,0.41343355787792802,0.013512181839914256
case_verdant,0.16,18,1.05,24,576,0.51294567161375693,0.010963726067354192
case_verdant,0.16,18,1.5,26,624,0.53151429334906308,0.01489654559764376
case_verdant,0.16,18,1.95,28,682,0.5225608430494576,0.0094952587945254796
case_verdant,0.16,18,2.3999999999999999,23,582,0.52052544328590744,0.012105080550415282
case_verdant,0.16,18,2.8500000000000001,25,702,0.49466846144908161,0.012093036658620047
case_verdant,0.16,18,3.2999999999999998,27,851,0.46418686260849756,0.013335052611186227
case_verdant,0.16,18,3.75,29,1028,0.42977535383813248,0.0095093872634234335
case_verdant,0.16,18,4.2000000000000002,24,888,0.39712385795197136,0.012246484790277529
case_verdant,0.16,18,4.6500000000000004,26,988,0.39365216160029265,0.010994247519568137
case_verdant,0.16,28,1.05,27,648,0.53721504587207025,0.011614440181453623
case_verdant,0.16,28,1.5,29,696,0.53184468072176183,0.013320782248023955
case_verdant,0.16,28,1.95,24,576,0.54282544925052345,0.0091488961650822848
case_verdant,0.16,28,2.3999999999999999,26,644,0.55007461696487003,0.01274360762373079
