case_id,target,min_size,halfwidth,h_c,nu,validation_rmse,n_groups,fit_ok
case_verdant,0.16,6,0.78749999999999998,3.1323750000000006,0.81758288690036895,0.0051390294283558567,12,1
case_verdant,0.16,6,1.0125,3.2223750000000004,1.5828503759370138,0.0081282194936689832,20,1
case_verdant,0.16,6,1.2375,3.2243750000000002,1.5828503759370138,0.008128422163922169,20,1
case_verdant,0.16,10,0.78749999999999998,3.1796250000000001,0.89590621638522583,0.0042257954353409335,9,1
case_verdant,0.16,10,1.0125,3.1515000000000004,1.5017149828375185,0.0078814596053115721,15,1
case_verdant,0.16,10,1.2375,3.1515000000000004,1.5017149828375185,0.0078814596053115721,15,1
case_verdant,0.48999999999999999,6,0.78749999999999998,2.9703750000000002,1.1423150985568253,0.0081836964914428021,16,1
case_verdant,0.48999999999999999,6,1.0125,2.9726249999999999,1.1112014577401026,0.0081837007877733035,16,1
case_verdant,0.48999999999999999,6,1.2375,2.8743749999999992,1.4441174144790374,0.008175342551388104,24,1
case_verdant,0.48999999999999999,10,0.78749999999999998,3.0434999999999999,0.7648188696336149,0.0062611178821387684,12,1
case_verdant,0.48999999999999999,10,1.0125,3.0434999999999999,0.7648188696336149,0.0062611178821387684,12,1
case_verdant,0.48999999999999999,10,1.2375,2.8427500000000001,1.4086478639479734,0.0082166353880364119,18,1
case_verdant,0.80000000000000004,6,0.78749999999999998,2.4438749999999998,0.64367091126497555,0.010494281255534628,12,1
case_verdant,0.80000000000000004,6,1.0125,2.3628750000000003,1.1943385182725152,0.01043346259502805,20,1
case_verdant,0.80000000000000004,6,1.2375,2.351,1.2236185539932771,0.01043407053297492,20,1
case_verdant,0.80000000000000004,10,0.78749999999999998,2.3977499999999998,0.62337498163049432,0.0092313115473944239,9,1
case_verdant,0.80000000000000004,10,1.0125,2.1502500000000002,1.2941150961986509,0.010749013832092619,15,1
case_verdant,0.80000000000000004,10,1.2375,2.1502500000000002,1.2941150961986509,0.010749013832092619,15,1
