query_id,target,size,control
q0000,0.17999999999999999,9,3.0953152000000004
q0001,0.17999999999999999,9,3.4153152000000002
q0002,0.17999999999999999,9,3.7353152000000001
q0003,0.17999999999999999,21,3.0953152000000004
q0004,0.17999999999999999,21,3.4153152000000002
q0005,0.17999999999999999,21,3.7353152000000001
q0006,0.17999999999999999,27,3.0953152000000004
q0007,0.17999999999999999,27,3.4153152000000002
q0008,0.17999999999999999,27,3.7353152000000001
q0009,0.5,9,2.8600000000000003
q0010,0.5,9,3.1800000000000002
q0011,0.5,9,3.5
q0012,0.5,21,2.8600000000000003
q0013,0.5,21,3.1800000000000002
q0014,0.5,21,3.5
q0015,0.5,27,2.8600000000000003
q0016,0.5,27,3.1800000000000002
q0017,0.5,27,3.5
q0018,0.81999999999999995,9,2.3502528000000003
q0019,0.81999999999999995,9,2.6702528000000001
q0020,0.81999999999999995,9,2.9902527999999999
q0021,0.81999999999999995,21,2.3502528000000003
q0022,0.81999999999999995,21,2.6702528000000001
q0023,0.81999999999999995,21,2.9902527999999999
q0024,0.81999999999999995,27,2.3502528000000003
q0025,0.81999999999999995,27,2.6702528000000001
q0026,0.81999999999999995,27,2.9902527999999999
