packet_id,realization_id,size,control,target,e_min,e_max,shift_energy,keep_count,eigen_offset,eigen_count
p000000,r0015,7,2.25,0.5,-59.999562066536939,60.026902811976768,0.46367037271991479,27,0,45
p000001,r0023,25,1.8500000000000001,0.5,-59.03157535361229,59.971166936956557,0.019795791672133578,26,45,45
p000002,r0009,17,1.45,0.5,-59.780330110790636,60.107230283036436,-0.28654991387709999,26,90,45
p000003,r0010,7,1.8500000000000001,0.5,-59.685822196799641,59.780423883929707,-0.40269915643496718,26,135,45
p000004,r0022,25,1.8500000000000001,0.5,-59.821894214437272,60.067312706532725,-0.32729075395227342,26,180,45
p000005,r0000,11,3.4500000000000002,0.5,-59.831370313354206,59.563623610390685,0.31612664851823952,36,225,45
p000006,r0028,11,1.8500000000000001,0.17999999999999999,-60.130461794934902,60.077766780214603,38.890285636687693,26,270,45
p000007,r0027,7,2.6499999999999999,0.81999999999999995,-59.727954496760518,60.304508410956629,-38.572111173371425,34,315,45
p000008,r0008,25,3.8500000000000001,0.5,-59.663476767789042,59.634351301775233,0.43543726699309532,40,360,45
p000009,r0014,17,4.25,0.81999999999999995,-65.105596206556555,83.85276248002782,-38.743091642971365,40,405,45
p000010,r0019,17,2.6499999999999999,0.81999999999999995,-61.375197720983138,66.155969528756401,-37.969587616030012,32,450,45
p000011,r0018,7,3.8500000000000001,0.81999999999999995,-62.499164206438891,69.392577996902162,-38.308650609837485,39,495,45
p000012,r0016,17,2.25,0.81999999999999995,-61.117288306794123,65.455367299538139,-37.884210297654306,26,540,45
p000013,r0007,25,2.25,0.17999999999999999,-60.462855523278243,60.402649200005278,39.096858349814248,26,585,45
p000014,r0019,25,4.6500000000000004,0.5,-60.164019576347286,60.169900143635076,-0.44705971635610525,40,630,45
p000015,r0022,25,3.0499999999999998,0.17999999999999999,-87.810199867682002,66.31954215135454,39.026188587927962,26,675,45
p000016,r0008,25,1.8500000000000001,0.81999999999999995,-59.614741198919617,60.329782008146701,-37.574727021647668,26,720,45
p000017,r0018,7,1.45,0.5,-59.902430006244344,59.890102242928236,-0.45616388165805405,26,765,45
p000018,r0023,7,4.25,0.5,-59.870723252643721,59.863892454821872,-0.45341539891092425,39,810,45
p000019,r0025,11,3.8500000000000001,0.81999999999999995,-59.723996152171551,60.0305041508716,-38.618186097623784,40,855,45
p000020,r0013,11,3.0499999999999998,0.5,-60.171103576365368,59.947573284276402,-0.56176514604448324,30,900,45
p000021,r0027,17,2.6499999999999999,0.81999999999999995,-67.805185647776639,95.925323750519198,-37.883693956083377,32,945,45
p000022,r0018,17,3.0499999999999998,0.5,-60.276082139103224,59.887959751931561,-0.64406119358583136,29,990,45
p000023,r0000,25,1.45,0.5,-59.942347754076813,60.04027518080995,0.49896371336656814,26,1035,45
p000024,r0006,25,2.25,0.81999999999999995,-60.13967232983952,61.132695795189001,-37.860646067334379,26,1080,45
p000025,r0004,17,2.6499999999999999,0.81999999999999995,-59.841101041654426,59.992781028204305,-38.721002269079847,31,1125,45
p000026,r0015,7,4.6500000000000004,0.81999999999999995,-68.674671739384721,98.621795538423285,-38.111307629379269,40,1170,45
p000027,r0008,7,1.45,0.81999999999999995,-60.408299671976543,66.289152677655295,-38.05275824904281,26,1215,45
p000028,r0015,11,4.6500000000000004,0.5,-60.256331608985093,60.370994722689275,-0.39266844314790889,40,1260,45
p000029,r0020,11,4.25,0.81999999999999995,-63.247589756146056,74.351717130361635,-38.929714516574663,40,1305,45
p000030,r0005,17,3.8500000000000001,0.81999999999999995,-61.080833830883407,63.367563662132575,-39.130122282140526,40,1350,45
p000031,r0022,11,4.25,0.17999999999999999,-60.544971367847424,59.439963496996953,37.392675221324964,40,1395,45
p000032,r0008,25,4.25,0.81999999999999995,-67.77254250537068,95.204306951891979,-37.986709603063389,40,1440,45
p000033,r0006,25,4.6500000000000004,0.17999999999999999,-70.566743097836309,62.364064454749808,37.986519095284308,40,1485,45
p000034,r0018,7,1.8500000000000001,0.5,-59.737264125551491,59.471727009543955,-0.58276855800376803,26,1530,45
p000035,r0025,11,3.4500000000000002,0.17999999999999999,-123.68832981356431,74.358627041263901,38.260174807394819,33,1575,45
p000036,r0025,11,2.25,0.81999999999999995,-61.471905254216551,66.858501274906274,-38.822432078974444,27,1620,45
p000037,r0013,11,1.45,0.81999999999999995,-61.236784387951289,66.704589876483908,-38.657337020352955,26,1665,45
p000038,r0014,7,4.25,0.17999999999999999,-64.55493228304465,60.905766438209,38.772840668383346,38,1710,45
p000039,r0001,11,4.25,0.81999999999999995,-64.821602301570039,81.937434918338084,-38.854975601986567,40,1755,45
p000040,r0023,17,3.8500000000000001,0.17999999999999999,-88.711725098128056,66.423631029100349,38.949266926199236,39,1800,45
p000041,r0019,17,1.8500000000000001,0.81999999999999995,-59.71722867911862,59.988033342547745,-38.620281515218672,26,1845,45
p000042,r0017,11,3.4500000000000002,0.5,-59.699533691601474,60.692854434735679,0.046660371567102732,37,1890,45
p000043,r0020,11,3.4500000000000002,0.5,-60.036092574739818,60.154628155573782,-0.39073220958301819,37,1935,45
p000044,r0014,25,3.0499999999999998,0.17999999999999999,-60.168062788397577,59.766320322552218,37.728131362581252,26,1980,45
p000045,r0000,17,4.25,0.17999999999999999,-67.251335186138292,61.594340307184041,38.852118718386023,40,2025,45
p000046,r0004,11,2.6499999999999999,0.81999999999999995,-61.128493011079982,67.156771275216258,-37.587145439546646,31,2070,45
p000047,r0016,17,4.25,0.81999999999999995,-59.544642453595721,59.633260940507022,-37.642619842657218,40,2115,45
p000048,r0017,11,3.8500000000000001,0.17999999999999999,-64.407815436079488,61.179639174978007,38.123897344987654,38,2160,45
p000049,r0002,25,1.8500000000000001,0.17999999999999999,-60.051441180653647,59.899741896398588,38.758528942529189,26,2205,45
p000050,r0007,17,1.45,0.81999999999999995,-72.199248805146226,115.99214900801678,-38.774797198776881,26,2250,45
p000051,r0019,11,3.8500000000000001,0.17999999999999999,-60.429852295451589,59.244753784933629,38.153324690464288,37,2295,45
p000052,r0027,7,3.4500000000000002,0.5,-59.165159186621736,60.125241987394432,0.93004140038634797,35,2340,45
p000053,r0012,11,2.6499999999999999,0.5,-59.77715672370077,59.929579007809451,0.5262111420543405,27,2385,45
p000054,r0013,25,1.8500000000000001,0.5,-60.374977841431999,60.683049989787833,0.60403607417791672,26,2430,45
p000055,r0025,17,2.6499999999999999,0.81999999999999995,-67.986948660913868,95.148020541998378,-38.172654204389659,31,2475,45
