i,j,value_real,value_imag
0,1,-0.82999999999999996,0
0,23,-1.0700000000000001,0
0,24,0,-0.16
1,2,-0.82999999999999996,0
1,24,-1.0700000000000001,0
2,3,-0.82999999999999996,0
2,25,-1.0700000000000001,0
3,4,-0.82999999999999996,0
3,26,-1.0700000000000001,0
3,27,0,0.16
4,5,-0.82999999999999996,0
4,27,-1.0700000000000001,0
5,6,-0.82999999999999996,0
5,28,-1.0700000000000001,0
6,7,-0.82999999999999996,0
6,29,-1.0700000000000001,0
6,30,0,-0.16
7,8,-0.82999999999999996,0
7,30,-1.0700000000000001,0
8,9,-0.82999999999999996,0
8,31,-1.0700000000000001,0
9,10,-0.82999999999999996,0
9,32,-1.0700000000000001,0
9,33,0,0.16
10,11,-0.82999999999999996,0
10,33,-1.0700000000000001,0
11,12,-0.82999999999999996,0
11,34,-1.0700000000000001,0
12,13,-0.82999999999999996,0
12,35,-1.0700000000000001,0
12,36,0,-0.16
13,14,-0.82999999999999996,0
13,36,-1.0700000000000001,0
14,15,-0.82999999999999996,0
14,37,-1.0700000000000001,0
15,16,-0.82999999999999996,0
15,38,-1.0700000000000001,0
15,39,0,0.16
16,17,-0.82999999999999996,0
16,39,-1.0700000000000001,0
17,18,-0.82999999999999996,0
17,40,-1.0700000000000001,0
18,19,-0.82999999999999996,0
18,41,-1.0700000000000001,0
18,42,0,-0.16
19,20,-0.82999999999999996,0
19,42,-1.0700000000000001,0
20,21,-0.82999999999999996,0
20,43,-1.0700000000000001,0
21,22,-0.82999999999999996,0
21,44,-1.0700000000000001,0
21,45,0,0.16
22,45,-1.0700000000000001,0
23,24,-0.82915976680370918,-0.037337395651257994
23,46,-1.0700000000000001,0
24,25,-0.82915976680370918,-0.037337395651257994
24,47,-1.0700000000000001,0
25,26,-0.82915976680370918,-0.037337395651257994
25,48,-1.0700000000000001,0
25,49,0,-0.16
26,27,-0.82915976680370918,-0.037337395651257994
26,49,-1.0700000000000001,0
27,28,-0.82915976680370918,-0.037337395651257994
27,50,-1.0700000000000001,0
28,29,-0.82915976680370918,-0.037337395651257994
28,51,-1.0700000000000001,0
28,52,0,0.16
29,30,-0.82915976680370918,-0.037337395651257994
29,52,-1.0700000000000001,0
30,31,-0.82915976680370918,-0.037337395651257994
30,53,-1.0700000000000001,0
31,32,-0.82915976680370918,-0.037337395651257994
31,54,-1.0700000000000001,0
31,55,0,-0.16
32,33,-0.82915976680370918,-0.037337395651257994
32,55,-1.0700000000000001,0
33,34,-0.82915976680370918,-0.037337395651257994
33,56,-1.0700000000000001,0
34,35,-0.82915976680370918,-0.037337395651257994
34,57,-1.0700000000000001,0
34,58,0,0.16
35,36,-0.82915976680370918,-0.037337395651257994
35,58,-1.0700000000000001,0
36,37,-0.82915976680370918,-0.037337395651257994
36,59,-1.0700000000000001,0
37,38,-0.82915976680370918,-0.037337395651257994
37,60,-1.0700000000000001,0
37,61,0,-0.16
38,39,-0.82915976680370918,-0.037337395651257994
38,61,-1.0700000000000001,0
39,40,-0.82915976680370918,-0.037337395651257994
39,62,-1.0700000000000001,0
40,41,-0.82915976680370918,-0.037337395651257994
40,63,-1.0700000000000001,0
40,64,0,0.16
41,42,-0.82915976680370918,-0.037337395651257994
41,64,-1.0700000000000001,0
42,43,-0.82915976680370918,-0.037337395651257994
42,65,-1.0700000000000001,0
43,44,-0.82915976680370918,-0.037337395651257994
43,66,-1.0700000000000001,0
43,67,0,-0.16
44,45,-0.82915976680370918,-0.037337395651257994
44,67,-1.0700000000000001,0
45,68,-1.0700000000000001,0
46,47,-0.82664076839995526,-0.074599195834349166
46,69,-1.0700000000000001,0
47,48,-0.82664076839995526,-0.074599195834349166
47,70,-1.0700000000000001,0
47,71,0,0.16
48,49,-0.82664076839995526,-0.074599195834349166
48,71,-1.0700000000000001,0
49,50,-0.82664076839995526,-0.074599195834349166
49,72,-1.0700000000000001,0
50,51,-0.82664076839995526,-0.074599195834349166
50,73,-1.0700000000000001,0
50,74,0,-0.16
51,52,-0.82664076839995526,-0.074599195834349166
51,74,-1.0700000000000001,0
52,53,-0.82664076839995526,-0.074599195834349166
52,75,-1.0700000000000001,0
53,54,-0.82664076839995526,-0.074599195834349166
53,76,-1.0700000000000001,0
53,77,0,0.16
54,55,-0.82664076839995526,-0.074599195834349166
54,77,-1.0700000000000001,0
55,56,-0.82664076839995526,-0.074599195834349166
55,78,-1.0700000000000001,0
56,57,-0.82664076839995526,-0.074599195834349166
56,79,-1.0700000000000001,0
56,80,0,-0.16
57,58,-0.82664076839995526,-0.074599195834349166
57,80,-1.0700000000000001,0
58,59,-0.82664076839995526,-0.074599195834349166
58,81,-1.0700000000000001,0
59,60,-0.82664076839995526,-0.074599195834349166
59,82,-1.0700000000000001,0
59,83,0,0.16
60,61,-0.82664076839995526,-0.074599195834349166
60,83,-1.0700000000000001,0
61,62,-0.82664076839995526,-0.074599195834349166
61,84,-1.0700000000000001,0
62,63,-0.82664076839995526,-0.074599195834349166
62,85,-1.0700000000000001,0
62,86,0,-0.16
63,64,-0.82664076839995526,-0.074599195834349166
63,86,-1.0700000000000001,0
64,65,-0.82664076839995526,-0.074599195834349166
64,87,-1.0700000000000001,0
65,66,-0.82664076839995526,-0.074599195834349166
65,88,-1.0700000000000001,0
65,89,0,0.16
66,67,-0.82664076839995526,-0.074599195834349166
66,89,-1.0700000000000001,0
67,68,-0.82664076839995526,-0.074599195834349166
67,90,-1.0700000000000001,0
68,91,-1.0700000000000001,0
69,70,-0.82244810489977471,-0.11170995813609909
69,92,-1.0700000000000001,0
69,93,0,-0.16
70,71,-0.82244810489977471,-0.11170995813609909
70,93,-1.0700000000000001,0
71,72,-0.82244810489977471,-0.11170995813609909
71,94,-1.0700000000000001,0
72,73,-0.82244810489977471,-0.11170995813609909
72,95,-1.0700000000000001,0
72,96,0,0.16
73,74,-0.82244810489977471,-0.11170995813609909
73,96,-1.0700000000000001,0
74,75,-0.82244810489977471,-0.11170995813609909
74,97,-1.0700000000000001,0
75,76,-0.82244810489977471,-0.11170995813609909
75,98,-1.0700000000000001,0
75,99,0,-0.16
76,77,-0.82244810489977471,-0.11170995813609909
76,99,-1.0700000000000001,0
77,78,-0.82244810489977471,-0.11170995813609909
77,100,-1.0700000000000001,0
78,79,-0.82244810489977471,-0.11170995813609909
78,101,-1.0700000000000001,0
78,102,0,0.16
79,80,-0.82244810489977471,-0.11170995813609909
79,102,-1.0700000000000001,0
80,81,-0.82244810489977471,-0.11170995813609909
80,103,-1.0700000000000001,0
81,82,-0.82244810489977471,-0.11170995813609909
81,104,-1.0700000000000001,0
81,105,0,-0.16
82,83,-0.82244810489977471,-0.11170995813609909
82,105,-1.0700000000000001,0
83,84,-0.82244810489977471,-0.11170995813609909
83,106,-1.0700000000000001,0
84,85,-0.82244810489977471,-0.11170995813609909
84,107,-1.0700000000000001,0
84,108,0,0.16
85,86,-0.82244810489977471,-0.11170995813609909
85,108,-1.0700000000000001,0
86,87,-0.82244810489977471,-0.11170995813609909
86,109,-1.0700000000000001,0
87,88,-0.82244810489977471,-0.11170995813609909
87,110,-1.0700000000000001,0
87,111,0,-0.16
88,89,-0.82244810489977471,-0.11170995813609909
88,111,-1.0700000000000001,0
89,90,-0.82244810489977471,-0.11170995813609909
89,112,-1.0700000000000001,0
90,91,-0.82244810489977471,-0.11170995813609909
90,113,-1.0700000000000001,0
90,114,0,0.16
91,114,-1.0700000000000001,0
92,93,-0.81659026501414078,-0.14859454594343405
92,115,-1.0700000000000001,0
93,94,-0.81659026501414078,-0.14859454594343405
93,116,-1.0700000000000001,0
94,95,-0.81659026501414078,-0.14859454594343405
94,117,-1.0700000000000001,0
94,118,0,-0.16
95,96,-0.81659026501414078,-0.14859454594343405
95,118,-1.0700000000000001,0
96,97,-0.81659026501414078,-0.14859454594343405
96,119,-1.0700000000000001,0
97,98,-0.81659026501414078,-0.14859454594343405
97,120,-1.0700000000000001,0
97,121,0,0.16
98,99,-0.81659026501414078,-0.14859454594343405
98,121,-1.0700000000000001,0
99,100,-0.81659026501414078,-0.14859454594343405
99,122,-1.0700000000000001,0
100,101,-0.81659026501414078,-0.14859454594343405
100,123,-1.0700000000000001,0
100,124,0,-0.16
101,102,-0.81659026501414078,-0.14859454594343405
101,124,-1.0700000000000001,0
102,103,-0.81659026501414078,-0.14859454594343405
102,125,-1.0700000000000001,0
