length,sequence_id,target_mask,observed_mask,count
0,s000,8,8,1921
0,s000,8,9,24
0,s000,8,10,42
0,s000,8,12,25
0,s000,8,14,1
0,s000,8,0,58
0,s000,8,1,1
0,s000,8,2,2
0,s000,8,4,1
0,s000,8,24,42
0,s000,8,40,29
0,s000,8,41,1
0,s000,8,42,1
0,s000,8,44,1
0,s000,8,32,2
0,s000,8,56,1
0,s000,8,72,54
0,s000,8,74,1
0,s000,8,76,1
0,s000,8,64,2
0,s000,8,68,1
0,s000,8,88,1
0,s000,8,104,1
0,s001,107,107,1990
0,s001,107,106,25
0,s001,107,105,68
0,s001,107,104,2
0,s001,107,111,25
0,s001,107,109,1
0,s001,107,99,60
0,s001,107,97,2
0,s001,107,103,3
0,s001,107,123,49
0,s001,107,122,1
0,s001,107,121,1
0,s001,107,127,1
0,s001,107,115,2
0,s001,107,75,25
0,s001,107,74,2
0,s001,107,73,3
0,s001,107,79,1
0,s001,107,67,1
0,s001,107,71,1
0,s001,107,43,59
0,s001,107,42,1
0,s001,107,41,2
0,s001,107,35,1
0,s001,107,59,3
0,s001,107,11,3
0,s002,13,13,2012
0,s002,13,12,37
0,s002,13,15,65
0,s002,13,14,1
0,s002,13,9,29
0,s002,13,5,46
0,s002,13,4,1
0,s002,13,7,3
0,s002,13,6,1
0,s002,13,1,1
0,s002,13,29,50
0,s002,13,31,1
0,s002,13,21,2
0,s002,13,45,34
0,s002,13,44,1
0,s002,13,47,2
0,s002,13,41,1
0,s002,13,37,1
0,s002,13,77,67
0,s002,13,93,4
0,s003,114,114,2049
0,s003,114,115,31
0,s003,114,112,68
0,s003,114,118,28
0,s003,114,119,1
0,s003,114,116,1
0,s003,114,122,61
0,s003,114,123,1
0,s003,114,120,3
0,s003,114,126,1
0,s003,114,98,44
0,s003,114,96,1
0,s003,114,82,32
0,s003,114,80,2
0,s003,114,50,68
0,s003,114,51,1
0,s003,114,48,2
0,s003,114,54,1
0,s003,114,34,3
0,s003,114,18,1
0,s004,9,9,1986
0,s004,9,8,37
0,s004,9,11,64
0,s004,9,10,3
0,s004,9,13,24
0,s004,9,15,1
0,s004,9,1,49
0,s004,9,25,44
0,s004,9,17,1
0,s004,9,41,29
0,s004,9,43,2
0,s004,9,57,1
0,s004,9,73,70
0,s004,9,75,2
0,s004,9,77,1
0,s004,9,65,3
0,s004,9,105,1
0,s005,89,89,2041
0,s005,89,88,34
0,s005,89,91,60
0,s005,89,90,2
0,s005,89,93,33
0,s005,89,92,1
0,s005,89,81,48
0,s005,89,83,2
0,s005,89,85,1
0,s005,89,73,58
0,s005,89,75,1
0,s005,89,65,1
0,s005,89,121,30
0,s005,89,123,2
0,s005,89,113,1
0,s005,89,115,1
0,s005,89,25,55
0,s005,89,24,2
0,s005,89,27,1
0,s005,89,29,2
0,s005,89,28,1
0,s005,89,17,1
0,s005,89,9,1
0,s005,89,57,2
0,s006,115,115,1998
0,s006,115,114,34
0,s006,115,113,54
0,s006,115,112,2
0,s006,115,119,35
0,s006,115,117,1
0,s006,115,123,66
0,s006,115,121,2
0,s006,115,127,1
0,s006,115,99,50
0,s006,115,97,1
0,s006,115,103,1
0,s006,115,83,26
0,s006,115,51,63
0,s006,115,50,1
0,s006,115,49,2
0,s006,115,55,3
0,s006,115,59,1
0,s006,115,19,1
0,s007,27,27,1872
0,s007,27,26,26
0,s007,27,25,60
0,s007,27,24,2
0,s007,27,31,31
0,s007,27,19,53
0,s007,27,17,1
0,s007,27,11,35
0,s007,27,10,2
0,s007,27,3,1
0,s007,27,59,33
0,s007,27,58,1
0,s007,27,57,1
0,s007,27,51,1
0,s007,27,43,1
0,s007,27,91,60
0,s007,27,90,2
0,s007,27,89,2
0,s007,27,95,1
0,s007,27,83,1
0,s007,27,75,1
0,s007,27,123,2
0,s008,78,78,2024
0,s008,78,79,32
0,s008,78,76,61
0,s008,78,77,1
0,s008,78,74,24
0,s008,78,75,1
0,s008,78,72,2
0,s008,78,70,47
0,s008,78,71,1
0,s008,78,68,2
0,s008,78,66,1
0,s008,78,94,54
0,s008,78,95,3
0,s008,78,92,2
0,s008,78,86,2
0,s008,78,110,19
0,s008,78,106,1
0,s008,78,14,69
0,s008,78,15,1
0,s008,78,12,1
0,s008,78,6,1
0,s008,78,30,1
0,s008,78,26,1
0,s008,78,46,1
