length,sequence_id,target_mask,observed_mask,count
0,s000,5,5,2242
0,s000,5,4,75
0,s000,5,7,21
0,s000,5,6,1
0,s000,5,1,61
0,s000,5,0,1
0,s000,5,13,24
0,s000,5,9,1
0,s000,5,21,57
0,s000,5,20,3
0,s000,5,29,1
0,s000,5,37,50
0,s000,5,36,2
0,s000,5,33,2
0,s000,5,32,1
0,s000,5,53,2
0,s001,36,36,2129
0,s001,36,37,74
0,s001,36,38,26
0,s001,36,32,52
0,s001,36,33,3
0,s001,36,44,19
0,s001,36,52,42
0,s001,36,53,1
0,s001,36,48,1
0,s001,36,4,55
0,s001,36,5,1
0,s001,36,0,2
0,s001,36,20,1
0,s002,20,20,2295
0,s002,20,21,70
0,s002,20,22,27
0,s002,20,16,51
0,s002,20,17,3
0,s002,20,18,2
0,s002,20,28,16
0,s002,20,30,1
0,s002,20,4,56
0,s002,20,5,1
0,s002,20,0,1
0,s002,20,52,52
0,s002,20,53,2
0,s002,20,54,2
0,s002,20,60,1
0,s002,20,36,1
0,s003,9,9,2176
0,s003,9,8,75
0,s003,9,11,31
0,s003,9,13,51
0,s003,9,12,1
0,s003,9,15,1
0,s003,9,1,25
0,s003,9,0,2
0,s003,9,5,1
0,s003,9,25,46
0,s003,9,24,3
0,s003,9,29,2
0,s003,9,41,31
0,s003,9,40,1
0,s003,9,43,1
0,s004,53,53,2165
0,s004,53,52,67
0,s004,53,55,25
0,s004,53,54,1
0,s004,53,49,47
0,s004,53,48,5
0,s004,53,51,1
0,s004,53,61,18
0,s004,53,60,1
0,s004,53,37,62
0,s004,53,36,3
0,s004,53,21,44
0,s004,53,20,1
0,s004,53,17,2
0,s004,53,25,1
0,s005,16,16,2329
0,s005,16,17,89
0,s005,16,18,26
0,s005,16,20,58
0,s005,16,21,2
0,s005,16,24,27
0,s005,16,25,1
0,s005,16,0,49
0,s005,16,1,3
0,s005,16,2,1
0,s005,16,4,4
0,s005,16,48,49
0,s005,16,49,2
0,s005,16,50,2
0,s005,16,52,2
0,s005,16,32,1
0,s006,9,9,2188
0,s006,9,8,89
0,s006,9,11,27
0,s006,9,10,2
0,s006,9,13,49
0,s006,9,12,2
0,s006,9,15,1
0,s006,9,1,24
0,s006,9,0,1
0,s006,9,25,59
0,s006,9,24,1
0,s006,9,27,1
0,s006,9,41,39
0,s006,9,40,1
0,s006,9,43,1
0,s007,56,56,2320
0,s007,56,57,76
0,s007,56,58,29
0,s007,56,59,1
0,s007,56,60,57
0,s007,56,61,1
0,s007,56,48,31
0,s007,56,49,1
0,s007,56,52,1
0,s007,56,40,46
0,s007,56,41,3
0,s007,56,42,1
0,s007,56,44,1
0,s007,56,24,57
0,s007,56,28,1
0,s007,56,16,1
0,s007,56,20,1
0,s007,56,12,1
0,s008,61,61,2143
0,s008,61,60,89
0,s008,61,63,34
0,s008,61,57,45
0,s008,61,56,1
0,s008,61,53,26
0,s008,61,52,1
0,s008,61,49,1
0,s008,61,45,51
0,s008,61,44,4
0,s008,61,47,2
0,s008,61,41,2
0,s008,61,29,48
0,s008,61,28,1
0,s008,61,31,1
0,s009,4,4,2222
0,s009,4,5,77
0,s009,4,6,33
0,s009,4,0,62
0,s009,4,12,25
0,s009,4,8,1
0,s009,4,20,52
0,s009,4,21,2
0,s009,4,22,5
0,s009,4,16,3
0,s009,4,36,47
0,s009,4,37,1
0,s010,26,26,2101
0,s010,26,27,84
0,s010,26,24,21
0,s010,26,25,3
0,s010,26,30,58
0,s010,26,28,1
0,s010,26,18,20
0,s010,26,10,44
0,s010,26,11,3
0,s010,26,9,1
0,s010,26,14,3
0,s010,26,58,55
0,s010,26,59,1
0,s010,26,62,1
0,s010,26,50,2
0,s010,26,51,1
0,s010,26,42,1
0,s011,51,51,2180
0,s011,51,50,84
0,s011,51,49,30
0,s011,51,48,2
0,s011,51,55,46
0,s011,51,53,1
0,s011,51,59,23
0,s011,51,63,2
0,s011,51,35,41
0,s011,51,34,2
0,s011,51,39,3
0,s011,51,43,1
0,s011,51,19,57
0,s011,51,18,1
0,s011,51,23,1
0,s012,53,53,2179
0,s012,53,52,75
0,s012,53,55,27
