case_id,target,min_size,halfwidth,h_c,nu,validation_rmse,n_groups,fit_ok
case_sable,0.20000000000000001,8,0.78749999999999998,3.2671250000000001,4,0.017850583251493215,16,1
case_sable,0.20000000000000001,8,1.0125,3.264875,4,0.017850541186417081,16,1
case_sable,0.20000000000000001,8,1.2375,3.2730000000000001,4,0.024302920208038717,24,1
case_sable,0.20000000000000001,13,0.78749999999999998,3.4325000000000001,4,0.015428846292584099,12,1
case_sable,0.20000000000000001,13,1.0125,3.4325000000000001,4,0.015428846292584099,12,1
case_sable,0.20000000000000001,13,1.2375,3.6786250000000003,4,0.025743778595101349,18,1
case_sable,0.52000000000000002,8,0.78749999999999998,3.4910000000000001,4,0.01552354338693553,16,1
case_sable,0.52000000000000002,8,1.0125,3.4921249999999997,4,0.015523562244109616,16,1
case_sable,0.52000000000000002,8,1.2375,3.7512499999999993,4,0.019079223027091814,24,1
case_sable,0.52000000000000002,13,0.78749999999999998,3.6102499999999997,4,0.014614992317365481,12,1
case_sable,0.52000000000000002,13,1.0125,3.6079999999999997,4,0.014614946271841166,12,1
case_sable,0.52000000000000002,13,1.2375,3.9066249999999996,4,0.020410491742284272,18,1
case_sable,0.83999999999999997,8,0.78749999999999998,3.2491249999999998,4,0.012508403299802635,16,1
case_sable,0.83999999999999997,8,1.0125,3.2457499999999997,4,0.012508615460962175,16,1
case_sable,0.83999999999999997,8,1.2375,3.1915,4,0.022383139944339461,24,1
case_sable,0.83999999999999997,13,0.78749999999999998,3.5247499999999996,4,0.012819056265683052,12,1
case_sable,0.83999999999999997,13,1.0125,3.5292499999999998,4,0.012819296673982161,12,1
case_sable,0.83999999999999997,13,1.2375,3.3963749999999995,4,0.02271522861977018,18,1
