length,sequence_id,target_mask,observed_mask,count
1,s000,18,18,1800
1,s000,18,19,146
1,s000,18,16,105
1,s000,18,17,8
1,s000,18,22,95
1,s000,18,23,8
1,s000,18,20,2
1,s000,18,21,1
1,s000,18,26,99
1,s000,18,27,5
1,s000,18,24,11
1,s000,18,30,9
1,s000,18,2,94
1,s000,18,3,5
1,s000,18,0,8
1,s000,18,6,5
1,s000,18,10,7
1,s000,18,50,124
1,s000,18,51,13
1,s000,18,48,13
1,s000,18,54,10
1,s000,18,55,2
1,s000,18,58,8
1,s000,18,59,1
1,s000,18,62,2
1,s000,18,34,5
1,s000,18,38,1
1,s000,18,82,119
1,s000,18,83,33
1,s000,18,80,8
1,s000,18,81,2
1,s000,18,86,16
1,s000,18,87,4
1,s000,18,90,10
1,s000,18,88,1
1,s000,18,94,1
1,s000,18,66,4
1,s000,18,64,1
1,s000,18,114,7
1,s000,18,115,5
1,s000,18,112,4
1,s000,18,122,2
1,s000,18,98,1
1,s001,15,15,1749
1,s001,15,14,114
1,s001,15,13,89
1,s001,15,12,7
1,s001,15,11,93
1,s001,15,10,8
1,s001,15,9,9
1,s001,15,7,110
1,s001,15,6,9
1,s001,15,5,5
1,s001,15,4,1
1,s001,15,3,7
1,s001,15,2,3
1,s001,15,31,97
1,s001,15,30,9
1,s001,15,29,6
1,s001,15,28,1
1,s001,15,27,6
1,s001,15,26,2
1,s001,15,23,1
1,s001,15,21,1
1,s001,15,47,124
1,s001,15,46,5
1,s001,15,45,9
1,s001,15,44,1
1,s001,15,43,9
1,s001,15,39,12
1,s001,15,37,1
1,s001,15,36,1
1,s001,15,63,3
1,s001,15,55,1
1,s001,15,79,125
1,s001,15,78,24
1,s001,15,77,5
1,s001,15,76,1
1,s001,15,75,8
1,s001,15,71,6
1,s001,15,70,4
1,s001,15,68,1
1,s001,15,95,7
1,s001,15,94,3
1,s001,15,91,1
1,s001,15,90,2
1,s001,15,111,6
1,s001,15,109,1
1,s001,15,108,1
1,s001,15,106,1
1,s001,15,103,1
1,s001,15,119,1
1,s002,40,40,1665
1,s002,40,41,125
1,s002,40,42,83
1,s002,40,43,5
1,s002,40,44,87
1,s002,40,45,8
1,s002,40,46,3
1,s002,40,47,1
1,s002,40,32,112
1,s002,40,33,4
1,s002,40,34,7
1,s002,40,36,6
1,s002,40,37,2
1,s002,40,56,85
1,s002,40,57,9
1,s002,40,58,4
1,s002,40,59,1
1,s002,40,60,4
1,s002,40,48,5
1,s002,40,53,1
1,s002,40,8,98
1,s002,40,9,11
1,s002,40,10,13
1,s002,40,11,3
1,s002,40,12,10
1,s002,40,14,2
1,s002,40,0,6
1,s002,40,2,1
1,s002,40,4,1
1,s002,40,24,6
1,s002,40,26,2
1,s002,40,18,1
1,s002,40,104,132
1,s002,40,105,16
1,s002,40,106,7
1,s002,40,108,10
1,s002,40,109,3
1,s002,40,110,1
1,s002,40,96,2
1,s002,40,97,2
1,s002,40,120,4
1,s002,40,123,1
1,s002,40,72,9
1,s002,40,73,1
1,s002,40,74,1
1,s002,40,79,1
1,s002,40,88,1
1,s003,94,94,1627
1,s003,94,95,122
