packet_id,realization_id,size,control,target,e_min,e_max,shift_energy,keep_count,eigen_offset,eigen_count
p000000,r0023,12,4.0999999999999996,0.78000000000000003,-63.923352336600274,74.689109717610307,-32.978610684673953,40,0,45
p000001,r0000,26,3.0499999999999998,0.78000000000000003,-61.483183818444637,64.966170665116408,-34.114325832061212,38,45,45
p000002,r0024,18,2.3500000000000001,0.5,-59.770703619995274,60.131850349864791,-0.26942663506524128,28,90,45
p000003,r0002,18,4.0999999999999996,0.22,-80.885280037703197,66.694221421262839,33.776731100290306,40,135,45
p000004,r0002,26,3.0499999999999998,0.5,-59.730103057920424,59.930135866103221,-0.34998359590860134,38,180,45
p000005,r0012,26,3.0499999999999998,0.5,-60.005135166447189,59.427117690884614,0.16099126221871246,38,225,45
p000006,r0014,8,3.0499999999999998,0.5,-60.478467555924183,60.313748323910474,-0.53235961600685466,35,270,45
p000007,r0020,8,2,0.78000000000000003,-59.991117764736202,59.828386160452794,-33.180826901194621,29,315,45
p000008,r0016,18,2,0.22,-60.000426191840106,59.531568276392051,33.684529493380978,27,360,45
p000009,r0026,26,3.0499999999999998,0.78000000000000003,-59.944673918127755,60.306572305348801,-33.039399748962914,38,405,45
p000010,r0011,12,2.3500000000000001,0.5,-60.023460152273834,59.880494292706906,0.37851707021653597,29,450,45
p000011,r0001,18,2.3500000000000001,0.5,-60.140225132399706,59.813698473919459,-0.61326332924012372,27,495,45
p000012,r0026,18,1.6499999999999999,0.22,-60.4419007812172,60.463117624366319,33.414013575137943,26,540,45
p000013,r0026,18,3.3999999999999999,0.22,-65.551029079445428,61.700203223596802,33.254932116927506,40,585,45
p000014,r0024,8,3.3999999999999999,0.22,-60.171228290948264,59.64309926972193,32.833947206374489,38,630,45
p000015,r0006,18,3.75,0.22,-59.928398422625889,60.005928439168386,33.170376529573645,40,675,45
p000016,r0013,12,2,0.78000000000000003,-60.481582530330542,60.039598522267596,-33.516922698758947,27,720,45
p000017,r0023,8,3.3999999999999999,0.5,-60.44658550009926,59.437399646491599,-0.05459292680383071,38,765,45
p000018,r0008,12,1.3,0.22,-59.769482482924573,60.11108928683749,34.187363497489841,26,810,45
p000019,r0000,8,2.3500000000000001,0.5,-61.083040053765103,59.700465014556158,-1.1412875196044723,30,855,45
p000020,r0002,26,1.3,0.78000000000000003,-60.154270210925965,60.585294261837007,-33.141566026918113,26,900,45
p000021,r0007,8,3.75,0.22,-98.105890783385206,70.512799998566337,33.866688026536998,38,945,45
p000022,r0000,8,3.0499999999999998,0.22,-59.128148920415661,60.695003201873718,33.883909734970054,36,990,45
p000023,r0001,8,1.6499999999999999,0.22,-64.126739860048772,60.550213762497691,32.671283965537469,27,1035,45
p000024,r0021,26,3.75,0.22,-59.708039453844435,60.595056806189632,34.578375628982144,40,1080,45
p000025,r0008,8,3.75,0.78000000000000003,-61.013805755172115,60.323836184394338,-34.7695245284675,38,1125,45
p000026,r0021,18,3.75,0.5,-59.111911909691877,60.332075391249596,1.0600817407788596,40,1170,45
p000027,r0009,26,4.0999999999999996,0.22,-59.629074989654825,59.81313028038403,33.085845120975478,40,1215,45
p000028,r0002,8,1.6499999999999999,0.78000000000000003,-62.364695294154572,67.423248293398359,-33.361347704892935,27,1260,45
p000029,r0001,18,1.6499999999999999,0.78000000000000003,-59.748446174403632,59.649221598239336,-33.930959264422185,26,1305,45
p000030,r0006,8,3.3999999999999999,0.78000000000000003,-60.64431794661823,60.102139457559097,-33.630097317699217,37,1350,45
p000031,r0019,18,2.3500000000000001,0.78000000000000003,-63.490142497496862,74.068262791956528,-32.777293333817113,28,1395,45
p000032,r0012,8,2.3500000000000001,0.5,-59.60748987125816,60.343055120238496,0.81778262449016803,30,1440,45
p000033,r0006,8,4.0999999999999996,0.5,-60.497551585895323,60.384253680763834,0.39335104743425547,39,1485,45
p000034,r0020,26,3.75,0.22,-60.407413848701182,60.178256838040866,34.099409286957624,40,1530,45
p000035,r0012,8,1.6499999999999999,0.22,-60.212373636361193,60.256175723152509,33.303094864059489,27,1575,45
p000036,r0016,26,1.6499999999999999,0.78000000000000003,-60.377028001611329,60.038374556300781,-34.335639438870672,26,1620,45
p000037,r0026,8,2.3500000000000001,0.78000000000000003,-59.856013077777568,60.080774625264887,-33.919919783108234,30,1665,45
p000038,r0004,8,1.6499999999999999,0.5,-60.009583168885257,60.148436106351369,0.51942646873305587,28,1710,45
p000039,r0002,8,2,0.22,-69.057105692886296,62.765703481741454,34.214685463323349,28,1755,45
p000040,r0009,12,1.3,0.78000000000000003,-59.44156722213593,60.394041543999755,-33.527733293586088,26,1800,45
p000041,r0012,8,3.3999999999999999,0.78000000000000003,-60.01649968222835,60.126940546670603,-33.134942831870582,36,1845,45
p000042,r0025,26,2.3500000000000001,0.5,-60.296704515193959,61.126708068170196,-0.034998223511881588,27,1890,45
p000043,r0010,26,1.6499999999999999,0.22,-59.60781760167869,60.11933825374058,33.329363965548339,26,1935,45
p000044,r0015,18,3.75,0.5,-60.704695240565783,60.260172322758692,0.22773854109645414,40,1980,45
p000045,r0022,8,2.7000000000000002,0.78000000000000003,-59.764945021654782,60.605445708575523,-33.733459061004119,32,2025,45
p000046,r0016,18,1.3,0.5,-59.696896612696555,60.057546552553227,0.63032496992833553,26,2070,45
p000047,r0004,8,3.0499999999999998,0.22,-60.122949666838373,60.340285104023494,33.388373454433875,34,2115,45
p000048,r0024,26,3.75,0.22,-59.717046329139933,59.864787547836954,33.106784094902039,40,2160,45
p000049,r0017,8,1.6499999999999999,0.22,-65.946299059437735,62.181048339245606,34.443031911535272,28,2205,45
p000050,r0025,8,2.7000000000000002,0.22,-59.811408025483956,59.587450422602132,32.869701564023188,32,2250,45
p000051,r0014,8,3.0499999999999998,0.78000000000000003,-60.415006852012091,60.049190216333756,-34.362883496976011,34,2295,45
p000052,r0013,8,1.6499999999999999,0.22,-59.674976210699874,59.690999342480865,32.980484720781099,27,2340,45
p000053,r0023,26,3.75,0.5,-60.311547528091367,59.689737242022076,0.13909485696535456,40,2385,45
p000054,r0010,8,2.7000000000000002,0.5,-60.357929405824024,59.851385659143361,-0.70327187334033137,32,2430,45
p000055,r0027,26,3.75,0.78000000000000003,-60.575662111276387,59.910881015852688,-34.518622623307998,40,2475,45
p000056,r0001,12,2.3500000000000001,0.22,-60.023017989848171,59.762252641634674,32.95949310270845,30,2520,45
p000057,r0018,18,1.3,0.5,-59.614541137527517,59.99829098721181,-0.25812507515785371,26,2565,45
p000058,r0022,26,2.7000000000000002,0.5,-60.12863999328912,59.871982484050015,-0.57832875461955235,30,2610,45
p000059,r0027,26,3.3999999999999999,0.78000000000000003,-59.387298946488855,59.948989909223954,-33.583315398232045,40,2655,45
p000060,r0024,8,2,0.5,-59.56772575091663,59.819027467277714,-0.32434914181945801,29,2700,45
p000061,r0007,26,4.0999999999999996,0.78000000000000003,-59.938979842074801,60.582874215349804,-33.87417194944139,40,2745,45
p000062,r0004,8,2.7000000000000002,0.5,-60.439958913707677,59.732180392701643,0.096110739496982955,32,2790,45
p000063,r0005,12,3.0499999999999998,0.5,-60.920693927742732,59.962078100036948,-0.92930791385289235,35,2835,45
p000064,r0016,8,2.7000000000000002,0.5,-60.043788073459012,60.192330751550287,0.52427133904563727,31,2880,45
p000065,r0023,18,3.3999999999999999,0.5,-60.696872513009652,59.736080365832322,-0.030396073588664752,40,2925,45
p000066,r0018,18,2.3500000000000001,0.5,-60.832099697167074,59.925385874859067,-0.003356911154003217,28,2970,45
p000067,r0006,18,2,0.22,-60.038520656663422,59.54038346605374,33.683024559055966,27,3015,45
p000068,r0005,18,1.3,0.78000000000000003,-59.895961882440609,60.186221413078215,-33.027881557426468,26,3060,45
p000069,r0025,18,2.7000000000000002,0.78000000000000003,-60.241278019892988,60.578996927146441,-34.110817531544321,31,3105,45
p000070,r0015,8,1.6499999999999999,0.5,-60.514615282740372,59.964605346505955,-0.7250049681172086,27,3150,45
p000071,r0003,12,2,0.78000000000000003,-64.540543862602306,76.977397784421754,-32.956596700257009,27,3195,45
p000072,r0022,26,1.6499999999999999,0.78000000000000003,-60.039039564031995,60.160791535511855,-33.145076722132337,26,3240,45
p000073,r0027,12,2,0.22,-59.985098204529834,60.654714222672432,33.663955488687932,28,3285,45
p000074,r0023,12,1.6499999999999999,0.22,-60.011028463169723,59.867593667776617,33.044296798968418,27,3330,45
p000075,r0009,8,4.0999999999999996,0.22,-59.976115111870186,60.181168520306919,34.19656612122796,39,3375,45
p000076,r0009,12,3.3999999999999999,0.78000000000000003,-59.64126073835871,59.60039565547784,-33.858096331714677,38,3420,45
p000077,r0016,12,2,0.78000000000000003,-60.041332271828551,59.973786195334128,-33.188006209052759,27,3465,45
p000078,r0024,12,2.3500000000000001,0.5,-59.839550373764574,60.764082483381891,0.91226605480865852,28,3510,45
p000079,r0020,12,1.6499999999999999,0.78000000000000003,-60.508292126520345,60.056882443634883,-34.433953721086191,27,3555,45
p000080,r0020,8,1.3,0.5,-59.930937259425455,59.78072791659725,0.37489532858589741,27,3600,45
p000081,r0022,12,3.0499999999999998,0.78000000000000003,-60.371024130164216,60.130654978282799,-34.310654726305877,35,3645,45
p000082,r0009,8,3.0499999999999998,0.5,-60.330628839189046,60.434192923841465,0.50178204232620938,36,3690,45
p000083,r0007,26,3.3999999999999999,0.22,-62.193817417762112,60.47802772126056,33.040221790675567,40,3735,45
